country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Japan,Adenovirus,Adenovirus,ADENO,2006-06-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-07-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-08-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-09-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-10-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-11-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2006-12-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-01-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-02-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-03-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-04-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-05-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-06-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-07-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-08-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-09-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-10-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-11-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2007-12-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-01-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-02-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-03-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-04-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-05-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-06-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-07-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-08-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-09-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-10-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-11-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2008-12-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-01-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-02-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-03-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-04-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-05-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-06-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-07-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-08-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-09-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-10-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-11-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2009-12-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-01-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-02-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-03-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-04-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-05-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-06-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-07-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-08-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-09-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-10-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-11-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2010-12-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2011-01-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2011-02-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2011-03-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2011-04-01,0.0,0.0
Japan,Adenovirus,Adenovirus,ADENO,2011-05-01,0.0,0.0
