country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-01-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-02-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-03-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-04-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-05-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-06-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-07-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-08-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-09-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-10-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-11-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,1999-12-01,7.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-01-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-02-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-03-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-04-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-05-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-06-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-07-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-08-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-09-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-10-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-11-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2000-12-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-01-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-02-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-03-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-04-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-05-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-06-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-07-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-08-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-09-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-10-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-11-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2001-12-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2002-01-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2002-02-01,0.0,0.0
Türkiye,InfluenzaA,InfluenzaA,INF_A,2002-03-01,0.0,0.0
