country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Tonga,Adenovirus,Adenovirus,ADENO,2024-12-01,0.0,25.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-01-01,0.0,189.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-02-01,0.0,55.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-03-01,0.0,176.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-04-01,0.0,538.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-05-01,0.0,277.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-06-01,0.0,209.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-07-01,0.0,130.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-08-01,0.0,122.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-09-01,0.0,274.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-10-01,0.0,283.0
Tonga,Adenovirus,Adenovirus,ADENO,2025-11-01,0.0,50.0
