country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2003-12-01,0.0,10.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-01-01,0.0,27.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-02-01,0.0,17.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-03-01,0.0,13.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-04-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-05-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-06-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-07-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-08-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-09-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-10-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-11-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2004-12-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-01-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-02-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-03-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-04-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-05-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-06-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-07-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-08-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-09-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-10-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-11-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2005-12-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-01-01,0.0,46.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-02-01,17.0,128.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-03-01,9.0,147.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-04-01,3.0,19.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-05-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-06-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-07-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-08-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-09-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-10-01,0.0,19.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-11-01,0.0,14.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2006-12-01,0.0,25.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-01-01,0.0,105.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-02-01,2.0,302.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-03-01,1.0,96.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-04-01,0.0,7.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-05-01,0.0,1.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-06-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-07-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-08-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-09-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-10-01,0.0,9.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-11-01,1.0,21.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2007-12-01,6.0,55.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-01-01,37.0,336.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-02-01,91.0,366.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-03-01,63.0,179.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-04-01,5.0,32.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-05-01,0.0,5.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-06-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-07-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-08-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-09-01,0.0,1.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-10-01,0.0,9.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-11-01,0.0,15.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2008-12-01,0.0,62.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2009-01-01,0.0,120.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2009-02-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2009-03-01,0.0,0.0
Luxembourg,InfluenzaB,InfluenzaB,INF_B,2009-04-01,3.0,18.0
