country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Australia,InfluenzaA,InfluenzaA,INF_A,1996-12-01,2.0,1.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-01-01,0.0,0.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-02-01,0.0,0.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-03-01,0.0,0.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-04-01,0.0,0.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-05-01,0.0,5.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-06-01,26.0,9.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-07-01,30.0,11.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-08-01,16.0,3.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-09-01,3.0,2.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-10-01,0.0,0.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-11-01,0.0,1.0
Australia,InfluenzaA,InfluenzaA,INF_A,1997-12-01,5.0,6.0
